Kritik dan Saran,Klasifikasi
"Maaf sebelumnya, tolong ketika menyampaikan materi lebih tertata jelas dan rapi serta lebih disiplin lagi dalam mengajar",0
"Maaf sebelumnya,Lebih menarik lagi ketika membuat bahan ajar agar dapat cepat dimengerti",0
Kalo ga masuk seengaknya ngasih tugas.,0
Harus lebih disiplin lg ketika pembelajaran dimulai dan seharusnya dosen lebih mudah dihubungi untuk konfirmasi pembelajaran,0
Dimohon untuk meluangkan sedikit waktunya untuk memberikan materi untuk para mahasiswa.,0
No coment,0
Kasih tugas yang tidak terlalu susah,0
"Saran misalkan sudah dimulai pembelajaran online, sering sering melihat Gmeet, barang kali masih ada mahasiswa yang belum di ACC",0
"tolong ofline apabila online pun harus diberi kuota semua mahasiswa,jangan ada yang dapet ada yang engga",0
Saran saat pembelajaran jangan membuat suasana tegang saat pembelajaran :),0
Kadang suka memberikan soal yang sulit dibandingkan dengan contoh soal yang dijelaskan,0
"Jangan terlalu banyak memberi tugas vidio,karna untuk kelas malam sulit untuk mencari jam dalam pengerjaan tugas",0
Jangan terlalu cepat dlm menjelaskan materi,0
sibuk sekali bosku,0
terlalu sat set,0
Tidak pernah masuk,0
terlalu ribet dengan urusan pribadi uppssiiie🤭,0
Saya harap ibu sering  mengajar di kelas dan tidak meninggalkan kelas,0
materi youtube terosssss wkwkwkwkwkw bgt pokoknya,0
"terlalu lama ngomong di gmeet, dan akhirnya saya ngantuk",0
Jarang masuk,0
"saat gmeet volumenya rada di kerasin ya pak, kecil banget pak soalnya volumen gmeet nya.. dan lebih jelas lagi pak jangan terlalu cepat",0
"Sejujurnya sebagai mahasiswa atau pelajar memang lah tidak boleh mengeluh. Tapi, alasan saya mengambil jam malam pasti ada alasan. Sejujurnya saya merasa terbebani dengan adanya tugas setiap akhir matkul. Dan saya juga merasa lelah mengerjakan vocab. Karena tidak setiap hari saya mempunyai kuota. Memang semua bisa dilakukan jika kita berusaha. Tetapi, saya rasa cukup sampai akhir matkul saja. Terimakasih",0
lebih jelas lagi ibu dalam menjelaskan materi,0
Jarang masuk kelas dan tidak ngasih materi,0
Maaf pa jangan terlalu cepat menjelaskannya hehe,0
"Lebih konsisten saja dalam perkuliahan
Di kelas H hanya awal awal saja memberikan materi setelah itu belum memberikan materi kembali",0
"Beliau jarang sekali menjelaskan materi,menurut saya jika memang tidak bisa melakukan penjelasan secara daring,file materi yang akan dibahas dishare jadi walalupun beliau tidak melakukan meeting online,setidaknya kita mengetahui materinya.",0
Jarang kasih materi dan jarang meeting. Semoga ke depannya lebih bagus lagi yaa,0
"Pengajar harusnya tugasnya mengajar , tapi bikin mahasiswanya mengsedih ngga dikasih materi tau2 ujian ngga tau apa2",0
"Komting kita sudah berusaha menghubungi dosen, namun responnya nihil. Materi hanya di berikan 1 kali berupa pot di awal perkuliahan itusangatlah kurang sekali dalam menghadapi uas karena tidak ada materi kuliah lain dan pertemuan secara onlinepun tidak pernah terjadi",0
Dalam menyampaikan materi terlalu singkat sehingga kadang ada kendala dalam memahami materinya,0
Selama pandemi saya sulit untuk menguasai materi yang bapak berikan,0
Jadwal bahasa Inggris jam 6-7 kita kelas ekstensi susah ngejar waktunya,0
Daring membuat saya kurang menguasai materi,0
Sayangnya cuma bisa sampai pertengahan semester,0
Tdak ada,0
Daring membuat kurang menguasai materi,0
Daring membuat kurang menguasai materi,0
Saran saya hanya satu untuk lebih diperhatikan dan perbaiki mengenai waktunya.,0
"Tidak ada modulnya dan saran saya jika memang sistem pembelajarannya menggunan mahasiswa presentasi, sebaiknya waktunya lebih diperhatikan lagi.",0
Diperhatikan lagi waktunya dan harap untuk lebih mudah di hubungi untuk jadwal mata kuliahnya.,0
Lebih di perbaiki sistem pembelajarannya lagi dan lebih menarik lagi agar tidak membosankan. Dan untuk bahan ajarnya lebih di perhatikan lagi agar mahasiswa lebih paham.,0
Kami butuh materi Ibu,0
Dalam menyampaikan materi terlalu singkat sehingga kadang ada kendala dalam memahami materinya.,0
Dosen dalam menyampaikan materi kurang jelas sehinggan sulit untuk dipahami dan sulit untuk dihubungi.,0
Dalam menyampaikan materi terlalu singkat sehingga kurang memahami materinya,0
Dalam menyampaikan materi kurang jelas sehingga ada beberapa yang sulit dipahami,0
Sesekali lakukan tatap muka,0
Sesekali melakukan tatap muka,0
"Tolong untuk masuk setiap mk karna kami sebagai mahasiswa tidak tau apa yang akan dipelajari tidak menerima modul, tidak menerima materi",0
Jika saat mata kuliah seharusnya tepat waktu sesuai jadwal,0
Situasi kelas yang kurang menyenangkan sehingga menimbulkan kejenuhan saat pembelajaran,0
Karena tidak offline maka sedikit sulit untuk memahami materi,0
Sulit dihubungi dan meterinya tertinggal,0
Tidak ada.,0
"Mungkin hanya saya, tapi saya tidak merasa mendapat materi. Karena mungkin memang mata kuliah ini berfokus pada tugas lapangan.",0
Materi yang dibahas sangat sedikit seharusnya lebih diperjelas lagi,0
Tidak pernah hadir untuk mengajar dikelas harusnya memberikan materi kalo tidak bisa mengadakan gmeet,0
Kurang jelas dalam mengajar,0
Kadang kurang jelas saat memberi materi,0
Tidak,0
Sering mengadakan pembelajaran secara offline karena tidak semua mahasiswa komputernya bisa,0
Seharusnya banyak diadakan pembelajaran secara offline karena itu praktek tidak semua mahasiswa bisa,0
Dosen sering susah di hubungi jika ada matakul tersebut,0
Ketika setelah daring sebaiknya contoh penggunaan rumus/cara di file yang sudah di buat mendadak saat menjelaskan di gmeet agar di berikan ke mahasiswa karena matkul ini praktek jdi tidak sempat menulis saat ada penjelasan yang diluar catatan langkah langkah pada modul.,0
Selama pembelajaran dosen belum pernah masuk namun menyematkan materi di 2 pertemuan pertama saja.,0
Sebaiknya saat pembelajaran online agar sinyal lebih baik supaya materi yang disampaikan bisa lebih mudah dipahami.,0
Dalam penyampaian materi lebih jelas agar mahasiswa bisa memahami dengan baik.,0
Proses pembelajaran harus lebih menarik supaya mahasiswa tidak bosan,0
Harus lebih saling mengerti mahasiswa terutama kelas malem,0
Kirim materi melalui YouTube menurut saya kurang efektif karena mungkin mahasiswa jarang membuka atau melihatnya,0
Lebih menarik lagi dalam menyampaikan materi supaya mahasiswa tidak bosan,0
Waktu perkuliahan kurang efektif,0
Terlalu tegang,0
Jika tidak masuk kelas sebaiknya dosen memberi informasi dan jika memberikan tugas jangan mendadak,0
sebaiknya jika ada mahasiswa yang terkendala saat melakukan praktik sebaiknya lebih di terangkan secara perlahan,0
Jika menjelaskan materi praktek jangan terlalu cepat,0
Jika menjelaskan materi jangan terlalu cepat,0
sebaiknya lebih mudah di hubungi dan jika berhalangan sebaiknya mengkonfirmasi dahi jauh-jauh hari tidak mendadak,0
"Kalo MK Otomatisasi perkantoran lebih baik pembelajarannya secara offline saja, karena lebih mudah dipahami bisa dipraktekan langsung. Kalo online kadang masih ada yang bingung terus juga kurang fokus karena terkendala dengan jaringan internetnya, terimakasih🙂",0
"Untuk MK Prak. P. Akt 1 lebih baik dilakukan secara offline, karena lebih mudah dipahami saat pembelajarannya tatap muka langsung, terimakasih.",0
Ibunya jarang masuk kelas:((((,0
Kuisnya jangan terlalu mepet,0
Setiap MK jangan kosong lagi ya bu,0
Kegiatan perkulihan kedepan di harapkan saat kuliah daring penbawaan materinya tidak membosankan,0
Sebaiknya kalo ngajar dilakukan secara langsung karna kalo pake daring kadang ada yang ngga mudeng,0
Sebaiknya klo mengajar offline jadi mudah dipahami dan bisa dipraktekan langsung.,0
Kalo bisa neranginya jangan cepet-cepet ya Bu biar paham,0
Menurut saya kalau menerangkan secara daring kadang agak kurang paham.,0
"Tugas terlalu banyak bagi kelas malam, setiap minggu ada 2-3 tugas yang diberikan.",0
"Untuk kedepannya saya harap metode pembelajaran bisa diubah agar lebih gampang dipahami oleh mahasiswa, karena menurut saya kurang efektif dan susah dipahami metode yang selama ini dilaksanakan.",0
"Sudah kuliah offline ditambah lagi hanya mendengarkan materi melalui kanal YouTube, sangat tidak efektif bagi saya.",0
"Apa kabar ibu selama satu semester ini?tidak ada kabar sama sekali, semoga ibu sehat baik baik saja:')",0
Pelan pelan pak memberikan materinya,0
Pelan lagi nggih bu menyampaikan materinya,0
"Dari awal sampai sekarang tidak pernah meet , cuma ngasih materi dan pembahasan di wa itupun jarang",0
"Kalo ngajar jangan cepet cepet bu. Setiap mahasiswa itu dya tangkepnya beda"" ",0
"dosennya hanya memberi materi lewat gc, tidak pernah mengadakan pertemuan zoom/gmeet",0
Sebaiknya dosen tidak bertele tele saat menjelaskan materi,0
Sebaiknya jangan terlalu tegang saat dosen sedang menyampaikan materi,0
Sebaiknya Saat penyampaian materi tidak bertele tele,0
Sebaiknya saat menyampaikan semua materi itu sama dosennya aja jangan ada presentasi karena belum tentu kita paham sama materi yang dijelaskan oleh mahasiswa yang berpresentasi,0
Sebaiknya jangan terlalu tegang saat melakukan pembelajaran. Dan jika ada tugas sebaiknya deadline-nya 1 minggu jangan langsung hari itunya,0
Kurang paham dengan materi yang dijelaskan dengan dosen tersebut,0
Sebaiknya saat melakukan pembelajaran tidak menggunakan bahasa yang kurang bisa kita pahami,0
"Tidak ada pernah pertemuan gmeet, zoom,w.a, namun tugas mendekati UAS numpuk sampe 5. Mohon toleransinya dan jangan terlalu  membebankan mahasiswa. Apalagi untuk kelas karyawan yg sdh terkuras tenaga dari kerjaan. Akhir tidak ada waktu buat belajar UAS karena sudah tertumpuk deadline",0
Perlu modul dan lebih jelas metode pengajarannya bukan hanya presentasi tapi ada point penting yg dijelaskan apa saja,0
Dosen tidak pernah mengadakan gmeet dan kurang jelas menjelaskan materi,0
Menjelaskan materi terlalu cepat :),0
terkadang susah dihubungi dan terkadang telat dalam waktu mengajar sebaiknya lebih tepat waktu lagi,0
Menjelaskan materi kurang jelas,0
Menjelaskan materi terlalu cepat,0
"sering telat mengajar
saran nya lebih tepat waktu",0
"Tidak pernah mengadakan kelas online maupun offline, dan materinya kurang jelas ",0
terlalu cepat dalam menjelaskan,0
terlalu susah untuk dihubungi jika ingin memulai mata kuliah,0
"Sebaiknya lebih profesional lagi dalam mengajar, jangan mudah terbawa perasaan dan marah",0
"Lebih baik modul di bagukan dlm bentuk pdd saja klo emng jumlah halaman sedikit, masa modul inggris paling tipis harganya 40k",0
Sebaiknya modul jgn tebal-tebal karna melihatnya saja bikin malas membaca,0
Keaktifan masuk di kelas sebaiknya di perbaiki,0
Mohon untuk semua dosen yang sudah ditugaskan untuk mengajar agar melaksanakan printah dg baik,0
"Terlalu santai kalo mengajar, jadi mahasiswanya jadi kurang bersemangat ",0
Sebaiknya untuk penilaian jangan terlalu pelit karena kita sebagai mahasiswa sudah berusaha semampu kita,0
Oke,0
Deadline pengumpulan tugas terlalu cepat.,0
"Mungkin karna bu dosen ini menjadi wadir, jadinya sibuk jarang masuk jadwal bahkan mungkin bisa dihitung dengan hitungan jari, jadi lebih baik kalo yang dijadiin dosen itu jangan yang punya kedudukan tinggi dan sibuk agar belajar mengajar menjadi lebih efektif.",0
"Sebaiknya Kalaw mau ngasih tugas harus jelas pak🙏🙏 dan juga harusnya dibanyakin prakteknya bukan online tros. Kita pusing, ini materi praktek harusnya lebih ditekankan. Dan ujung²nya kita nonton YT deh. Kuotane habis, apalagi kalaw sinyalnya hilang yah udah deh bubar. ",0
"Jangan hanya mengirim materi di google classroom dan disuruh mengerjakan tugas, diharap mengadakan meet setiap pertemuan",0
Pak nanti kalo di WA sama mahasiswanya tolong di bales ya,0
Lebih jelas dan keras Lagi suaranya ketika memberikan materi berupa video YouTube.,0
Jangan suka ngasih tugass..,0
Saran saya Ketika memberikan materi tidak terlalu cepat bicaranya.,0
Kedepannya tolong lebih meluangkan waktu untuk masuk kelas bu,0
Hanya menyuruh mahasiswa mengerjakan tugas tetapi tidak menjelaskan secara detail pembahasan,0
Mungkin karena dosen pengganti jadi belum pernah mengadakan meet,0
"Jarang g meet,  jarang ngasih tugass,  semoga kedepnya bisa di perbaiki lagi ",0
Kurang mendalami dalam penyampaian materi kuliah,0
Harus lebih masuk kelas sesuai jadwal,0
"Saat mengajar jangan terlalu cepat menjelaskan materi, karena sangat susah untuk di pahami",0
Perkuliahannya jarang dan sulit untuk memahami materi yang di ujikan,0
Tidak ada.,0
"mohon maaf, untuk materi yang dijelaskan oleh dosen tersebut kurang bisa dipahami oleh kebanyakan mahasiswa, dan dalam pemberian tugasnya juga seabreg abreg ga mipil, dan apabila ada mahasiswa yg bertanya lewat wa kadang tidak dibls, dan metode penyampaian materinya juga kurang inovatif. ",0
Kalo ngajar suka  ngebatasin waktuu,0
Lebih sering lagi untuk memberikan materi di kelas,0
Sering sering membimbing jangan cuma nyuruh nonton youtub terus ditinggal pergi,0
Materi sulit dipahami,0
Agak terlalu cepat menjelaskan,0
Lebih sabar lagi dalam menghadapi mahasiswa yang terkadang terlambat untuk menyelesaikan tugas.,0
Lebih sabar dalam menghadapi mahasiswa yang terkadang tidak menjawab saat ditanya.,0
Lebih sabar dalam menghadapi mahasiswa yang terkadang kalau ditanya tidak menjawab.,0
Lebih sabar dalam menghadapi mahasiswa yang ketika ditanya lama menjawabnya karena bingung.,0
"Kurang dalam mengatur waktu,terkadang masuk gmeet terlambat dan tidak memberi tahu mahasiswa gmeet tepat dimulai jam berapa,dan sering sekali pada saat mata kuliah sudah selesai namun dosen tetap melanjutkan ",0
Terkadang dosen pada saat gmeet dimulai tidak memperhatikan mahasiswa yang mau ikut masuk dalam gmeet sehingga mahasiswa menunggu lama untuk di acc,0
"Pada saat mengajar dosen terlalu serius,kurang diselingi candaan sehingga mahasiswa nyaman pada saat diajar",0
Tugasnya terlalu banyak dan selalu disuruh bikin video setiap minggu,0
"Materinya kurang ,jadi kalau mau UAS mahasiswa terkadang mencari materi sendiri",0
Ketika praktik di lab harap periksa keadaan kelas sudah dapat mengikuti dengan benar atau belum,0
Jangan terlalu cepat dalam mengajar,0
Terlalu monoton dalam mengajar,0
Minta tolong direspon jika ada mahasiswa yang konfirmasi mengenai KBM dll,0
Lebih sering masuk KBM biar tidak susah nyari hari pengganti,0
Jangan galak-galak ya  sama mahasiswanya,0
Lebih baik menggunakan gmeet daripada Whatsapp agar mahasiswa lebih paham,0
Sering tidak masuk kelas online,0
Lebih gampang dihubungi karena terkadang mahasiswa butuh bertanya,0
Jangan sering-sering kosong,0
"Jangan membeda-bedakan mahasiswa, karena semua mahasiswa sama",0
Kurang jelas dalam menyampaikan materi.,0
Kurang menguasai situasi kelas,0
Kurang efisien dalam pembelajarannya karena selama satu semester hanya diberi tugas untuk menanam tanaman. Lalu menjualnya...,0
Saran saya jika dihubungi oleh mahasiswa bisa memberikan balasan atau konfirmasi dengan baik,0
Kurang jelas dalam menjelaskan apalagi di jam² sore... Sebaiknya lebih jelas lagi dan membuat situasi lebih seru lagi,0
Kurang jelas menjelaskan materi,0
Sebaiknya kalau mengajar jangan terlalu cepat dan jangan sering marah-marah terhadap mahasiswa.,0
"Saran saya ketika mengajar agar lebih sabar lagi, walaupun menjelaskan materinya jelas tetapi mudah emosi ",0
Selama pergantian dosen setelah Alam pak Sunandar meninggal kita hanya di ajar Bu Ika sekali saja.,0
Saran saya jika tidak masuk dikasih tugas supaya tidak tertinggal jauh materinya. Sekali ngasih tugas banyak dan tidak dijelaskan. Jika di tanyakan masuk tidak selalu banyak alasannya.,0
tidak aada,0
Sering sering ada kabar ya bu jgn suka mendadak dan kalo memberikan tugas jgn yg mempersulit mhsiswanya,0
tidk ada,0
terlalu menegangkan saat mengajar,0
tdk adaa,0
Materi terlalu banyak jadi lebih banyak metode pembelajaran melalui vidio pembahasan rutin,0
Kurang waktu pembelajaran,0
"Bosan cara mengajarnya ,",0
Tidak pernah diajarkan,0
Jelas hanya terlalu membingungkan bolak balik cara mengajarkannya,0
"Sinyal dosen mengganggu , dan bosan cara mengajarkannya",0
Jika dihubungi susah,0
Kalo kasih tugas jangan banyak-banyak dan kurangi menyinggung mahasiswa,0
Gmeet oh buk. Masa via chat,0
Gapernah googlemeet semenjak smt3 dan ini mau smt5,0
Sarannya kalo kelas pagi bisa lebih ontime dengan jadwal yg diberikan prodi karena mahasiswa menunggu terlalu lama,0
Sarannya semoga di beri kesabaran yang bertammbah untuk mahasiswanya,0
Tidak adq,0
"Kritik saya ketika sudah waktunya perkuliahan harusnya sudah siap untuk menyampaikan materi yang akan dibahas tidak jam kosong terus, saran saya seharusnya dosen bisa melalui media online gmeet atau zoom tapi tidak ada tindakan untuk mengajar jadi saya sebagai mahasiswa tidak tahu materi apa yang diajarkan alhasil mahasiswa sekedar membaca sendiri tapi tidak sepenuhnya paham. Mohon dengan sangat prodi bisa mengkoreksi dosen yang benar benar niat untuk mengajar mahasiswanya",0
"harus bertanggung jawab dalam menyampaikan materi kepada mahasiswa karena dari awal tidak pernah mengisi pembelajaran, dan tiba-tiba hanya memberi tugas saja tanpa dijelaskan",0
jangan hanya mengirim materi saja tapi tolong dijelaskan agar mahasiswa faham,0
Lebih dilihat lg penilaian terhadap mahasiswa,0
"Tidak pernah melakukan google meet
Selama 1 smester tidak ada kelas.. Cuma memberi materi lewat Gc.",0
Jangan sering memberi tugas,0
Kurangi jam kosong agar tidak terlalu cepat mengejar materi,0
penjelasan atas materi sulit dipahami,0
Untuk pembelajjaran kurang efektif,0
Menjelaskannya jgn terlalu ceoat,0
Menjelaskannya jgn terlalu cepat,0
Menjelaskannya jangan terlalu cepat,0
Terkadang video yang di upload di yt sama dengan yang di modul. Sudah berulang kali saya putar dan baca masih belum dapat memahami materi 100% 🙏,0
"Jika dihubungi susah, jika di wa untuk bertanya tentang maksud dari tugasnya hanya di read:) cara penjelasanya kurang. Sekian terima kasih",0
penyampaian materi terlalu cepat,0
terlalu banyak tugas video penyimpanan penuh:(,0
"tidak pernah ada gmeet, ",0
"Semoga bapak bisa lebih mempertimbangkan lagi waktu perkuliahan, karena dilaksanakan pada sore menjelang petang 
Menurut saya waktu tersebut kurang maksimal karena fisik sudah lelah dari pagi ada perkuliahan jadi kurang pemahaman",0
Susah dalam pembelajaran.,0
Agar lebih sabar lagi dalam mengajarr,0
Kurang baik,0
"Dalam pembelajaran jarang masuk, cuma masuk 1 kali pertemuan. ",0
Kurang maksimal karena tidak pernah melakukan gmeet sehingga pemahaman kurang,0
Menjelaskan materi jangan terlalu cepat.,0
jangan sering kosong:(,0
Menjelaskannya membuat boring,0
Kurang menyenangkan dalam metode pembelajaran,0
"Dosen tdk pernah menghadiri kls karena kesibukan lain, hanya pernah pembelajaran 1x secara offline untuk mengejar materi sebelumnya",0
Terlalu tegang dalam menerangkan materi,0
"Jelaskan materinya dahulu sebelum mengasih tugas""nya Dan membuat jdwal pertemuan melalui Gmeet seperti dosen"" lainnya. ",0
Asisten dosennya kurang baik dan kurnaag sabar.,0
Kalo menjelaskan tidak langsung tapi muter-muter dulu kadang agak sedikit kebingungan menjelaskan nya jga agak terlalu kecepetan,0
Gak ada,0
Lebih sering masuk kelas lagi,0
sebaiknya jgn sering2 jamkos,0
"Meskipun sebagai dosen pengganti dari Alm pa Sunandar, ibu ika beberapa kali memberikan tugas dan pernah melakukan satu kali tatap muka dan memberikan pembelajaran yang ketinggalan. Semoga lebih cepat memberi respon pada saat dihubungi. Dan semoga lebih baik lagi. ",0
"Sebaiknya agar dosen lebih menjelaskan detail, apalagi ini mata kuliah praktikum yang membutuhkan contoh real dalam pencatatan setiap transaksi nya",0
Kurang menjelaskan dasar dari materi tersebut,0
kurang di penyampaian materi,0
jangan terlalu diberi banyak tugas kadang kejar kejaran deadline sedangkan saya mahasiswi ekstensi,0
Tugas jangan setiap minggu,0
"Dimohon untuk tidak menyebutkan nilai² kami yg kurang memuaskan, hal tersebut tidak lantas membuat kami menjadi terpacu untuk menjadi yg lebih baik, tetapi malah membuat down mental kami. Karena permasalahan yang sering terjadi saat perkuliahan daring nilai yang buruk bukan berarti tidak pandai, tidak menutup kemungkinan karena signal yang buruk. ",0
Metode pembelajaran via WA krg dapat dipahami,0
Jangan terlalu cepat saat menjelaskan,0
Kurang lebih saya kurang paham dengan yang disampaikan karena media pembelajaran online,0
Kurang lebih saya kurang paham karena media pembelajaran online,0
Yang diminta siswa adalah dosen yang dapat menjelaskan materinya. Kami butuh bimbingan untuk dapat memahami materi bukan hanya motivasi saja.,0
Sering terkendala koneksi internet dan pembawaannya kurang enak hehe,0
tolong jelaskan lebih rinci jika ada mahasiswa yang belum paham,0
"Jarang menjelaskan materi, hanya mengirimkan video hampir di setiap pertemuan sehingga mahasiswa kurang memahami materinya",0
Jangan hanya mengirim video youtube untuk pemebelajaran dan jangan membuat materi sesuai dengan modul karena mahasiswa juga bisa membaca jika materi yang disampaikan sama dengan di modul pembelajaran,0
Tidal ada,0
Dosen dalam mengajar tidak mudah dipahami,0
Nothing,0
Tidak,0
"Seharusnya mencari dosen yang benar benar kompeten di bidangnya, untuk mk ini dosennya tidak bisa menguasai sehingga mahasiswa tidak bisa memahami",0
"Sebaiknya jika sudah ada jam mengajar bisa digunakan untuk semestinya, atau bisa diganti dengan hari selanjutnya. Ketika ada mahasiswa menghubungi bisa direspon, pengajaran yang membingungkan dan monoton ",0
"Saran dan kritik saya adalah Agar lebih menyempatkan waktunta untuk masuk kelas dan menjelaskan materi secara detail, tidak hanya memberi tugas saja",0
"Mohon Maaf sebelumnya, Kritik untuk lebih menghargai mahasiswa yang Chat karena Mahasiswa juga butuh kepastian dari dosennya meskipun cuma jawab YA, karena saya sendiri chat ijin tidak pernah dibaca bahkan dibalas . Dan untuk kelas ektensi dengan tugas yang banyak dan dateline yang cepat sungguh menguras tenaga dan pikiran karena mayoritas dari kita bekerja bagai kuda dan waktu banyak habis ditempat kerja belum lagi tugas dosen yang lain kalau hal tersebut diterapkan di kelas pagi BAIK sekali, saran disamping praktek langsung dikampus, untuk membuat akun youtube tutorial saat menggunakan  suatu Aplikasi Excel, Acces, Flowchart supaya mahasiswa yang belum paham / ketinggalan mk bisa mengikuti. Terima Kasih ",0
Pembelajaran tidak menarik terlalu monoton,0
Terlalu banyak tugas pak,0
"Sebaiknya dosen dapat memberikan dan menjelaskan materi perkuliahan dengan jelas, sehingga mahasiswa dapat lebih memahami. Dalam memberikan dan menjelaskan materi perkuliahan sebaiknya jangan bertele-tele dan juga jangan terlalu cepat, Terima kasih",0
"Sebaiknya tugasnya dikurangi, karena kelas ekstnsi waktu untuk mengerjakann tugasnya sedikit.",0
Untuk penjrlasan naterinya kurang,0
saat menjelaskan suatu materi hendaknyaa disertai ppt atau file mendukung,0
lain kali asdosnya dikasih tahu agar lebih menghargai mahasiswa tidak seenaknya sendiri,0
dosennya jarang masuk kelas,0
Lebih antusias lagi dalam menjelaskan,0
koneksi internet nya distabilkan dalam mempresentasikan,0
lebih adil dalam memberi nilai,0
Penyampaian materi melalui presentasi tidak efektif,0
Jangan terlalu cepat memberikan materinya bu. Jangan pelit nilai,0
Setelah memberikan motivasi ke mahasiswa jangan di jatuhkan mentalnya lagi dengan ucapan ibu dosen yang terhormat dengan menyindir dan mencela dengan ucapan yang di sampaikan setiap saat perkuliahan,0
Walaupun tidak ada kelas setidaknya beri materi Bu,0
Jangan telat.,0
"ga pernah mau menjelaskan materi atau soal lebih dahulu,sehingga sejam diem2an",0
"Saran untuk pak Asrofi, pembelajaran diusahakan agar tidak membosankan dan tidak melebihi jam pelajaran. Terimakasih 🤗",0
Konfirmasi MK kadang terlambat,0
"Sering tidak masuk kelas, sehingga tidak tahu tentang materi yang dipelajari. Semoga jika bertemu lagi, bisa masuk kelas dan bisa berjumpa walaupun lewat gmeet ataupun zoom, terimakasih.",0
Tdk ad,0
G ada,0
Terlalu cepat dalam memyampaikan materi,0
Terlalu cepat dalam memyampaikan materi,0
Dosen tidak memberikan materi,0
sebaiknya dosen bis lebih mengatur waktu agar bisa mengajar setiap waktunya,0
tidakada,0
Tugas terlalu memberatkan mahasiswa,0
Lebih kreatif dlm mengajar agar tdk boring,0
Kurang jelas dalam menjelaskan materi,0
Kurang jelas dlm mengajar,0
Jangan mengajar terlalu cepat.,0
Dosen tidak pernah hadir dalam 1 semester,0
"Untuk mulai perkuliahannya jangan kemalaman ya, kadang keburu ngantuk, jadi ketiduran .",0
Pembelajaran yg diberikan terlalu monotoon  sehingga terkadang membosankan,0
Kelas malam masa disamakan kelas pagi. Kami kerja jadi kalo kasi tugas tolong dimengerti 😌,0
"sebaiknya bapak jangan ada asisten dosen, karena asisten dosennya bapak temperamen.",0
sebaiknya jangan diam diaman selama satu jam pak biar kita juga dapat ilmu.,0
"kami bingung terhadap materi anggaran perusahaan, karena bu Ghea jarang masuk",0
