Kritik dan Saran,Klasifikasi
Jangan terlalu cepat dlm menjelaskan materi,Kurang
sibuk sekali bosku,Kurang
terlalu sat set,Kurang
Tidak pernah masuk,Kurang
terlalu ribet dengan urusan pribadi uppssiiie🤭,Kurang
Saya harap ibu sering  mengajar di kelas dan tidak meninggalkan kelas,Kurang
materi youtube terosssss wkwkwkwkwkw bgt pokoknya,Kurang
"terlalu lama ngomong di gmeet, dan akhirnya saya ngantuk",Kurang
Jarang masuk,Kurang
"saat gmeet volumenya rada di kerasin ya pak, kecil banget pak soalnya volumen gmeet nya.. dan lebih jelas lagi pak jangan terlalu cepat",Kurang
"Sejujurnya sebagai mahasiswa atau pelajar memang lah tidak boleh mengeluh. Tapi, alasan saya mengambil jam malam pasti ada alasan. Sejujurnya saya merasa terbebani dengan adanya tugas setiap akhir matkul. Dan saya juga merasa lelah mengerjakan vocab. Karena tidak setiap hari saya mempunyai kuota. Memang semua bisa dilakukan jika kita berusaha. Tetapi, saya rasa cukup sampai akhir matkul saja. Terimakasih",Kurang
lebih jelas lagi ibu dalam menjelaskan materi,Kurang
Jarang masuk kelas dan tidak ngasih materi,Kurang
Maaf pa jangan terlalu cepat menjelaskannya hehe,Kurang
"Lebih konsisten saja dalam perkuliahan
Di kelas H hanya awal awal saja memberikan materi setelah itu belum memberikan materi kembali",Kurang
"Beliau jarang sekali menjelaskan materi,menurut saya jika memang tidak bisa melakukan penjelasan secara daring,file materi yang akan dibahas dishare jadi walalupun beliau tidak melakukan meeting online,setidaknya kita mengetahui materinya.",Kurang
Jarang kasih materi dan jarang meeting. Semoga ke depannya lebih bagus lagi yaa,Kurang
"Pengajar harusnya tugasnya mengajar , tapi bikin mahasiswanya mengsedih ngga dikasih materi tau2 ujian ngga tau apa2",Kurang
"Komting kita sudah berusaha menghubungi dosen, namun responnya nihil. Materi hanya di berikan 1 kali berupa pot di awal perkuliahan itusangatlah kurang sekali dalam menghadapi uas karena tidak ada materi kuliah lain dan pertemuan secara onlinepun tidak pernah terjadi",Kurang
Dalam menyampaikan materi terlalu singkat sehingga kadang ada kendala dalam memahami materinya,Kurang
Selama pandemi saya sulit untuk menguasai materi yang bapak berikan,Kurang
Jadwal bahasa Inggris jam 6-7 kita kelas ekstensi susah ngejar waktunya,Kurang
Daring membuat saya kurang menguasai materi,Kurang
Sayangnya cuma bisa sampai pertengahan semester,Kurang
Tdak ada,Kurang
Daring membuat kurang menguasai materi,Kurang
Daring membuat kurang menguasai materi,Kurang
Saran saya hanya satu untuk lebih diperhatikan dan perbaiki mengenai waktunya.,Kurang
"Tidak ada modulnya dan saran saya jika memang sistem pembelajarannya menggunan mahasiswa presentasi, sebaiknya waktunya lebih diperhatikan lagi.",Kurang
Diperhatikan lagi waktunya dan harap untuk lebih mudah di hubungi untuk jadwal mata kuliahnya.,Kurang
Lebih di perbaiki sistem pembelajarannya lagi dan lebih menarik lagi agar tidak membosankan. Dan untuk bahan ajarnya lebih di perhatikan lagi agar mahasiswa lebih paham.,Kurang
Kami butuh materi Ibu,Kurang
Dalam menyampaikan materi terlalu singkat sehingga kadang ada kendala dalam memahami materinya.,Kurang
Dosen dalam menyampaikan materi kurang jelas sehinggan sulit untuk dipahami dan sulit untuk dihubungi.,Kurang
Dalam menyampaikan materi terlalu singkat sehingga kurang memahami materinya,Kurang
Dalam menyampaikan materi kurang jelas sehingga ada beberapa yang sulit dipahami,Kurang
Sesekali lakukan tatap muka,Kurang
Sesekali melakukan tatap muka,Kurang
"Tolong untuk masuk setiap mk karna kami sebagai mahasiswa tidak tau apa yang akan dipelajari tidak menerima modul, tidak menerima materi",Kurang
Jika saat mata kuliah seharusnya tepat waktu sesuai jadwal,Kurang
Situasi kelas yang kurang menyenangkan sehingga menimbulkan kejenuhan saat pembelajaran,Kurang
Karena tidak offline maka sedikit sulit untuk memahami materi,Kurang
Sulit dihubungi dan meterinya tertinggal,Kurang
Tidak ada.,Kurang
"Mungkin hanya saya, tapi saya tidak merasa mendapat materi. Karena mungkin memang mata kuliah ini berfokus pada tugas lapangan.",Kurang
Materi yang dibahas sangat sedikit seharusnya lebih diperjelas lagi,Kurang
Tidak pernah hadir untuk mengajar dikelas harusnya memberikan materi kalo tidak bisa mengadakan gmeet,Kurang
Kurang jelas dalam mengajar,Kurang
Kadang kurang jelas saat memberi materi,Kurang
Tidak,Kurang
Sering mengadakan pembelajaran secara offline karena tidak semua mahasiswa komputernya bisa,Kurang
Seharusnya banyak diadakan pembelajaran secara offline karena itu praktek tidak semua mahasiswa bisa,Kurang
Dosen sering susah di hubungi jika ada matakul tersebut,Kurang
Ketika setelah daring sebaiknya contoh penggunaan rumus/cara di file yang sudah di buat mendadak saat menjelaskan di gmeet agar di berikan ke mahasiswa karena matkul ini praktek jdi tidak sempat menulis saat ada penjelasan yang diluar catatan langkah langkah pada modul.,Kurang
Selama pembelajaran dosen belum pernah masuk namun menyematkan materi di 2 pertemuan pertama saja.,Kurang
Sebaiknya saat pembelajaran online agar sinyal lebih baik supaya materi yang disampaikan bisa lebih mudah dipahami.,Kurang
Dalam penyampaian materi lebih jelas agar mahasiswa bisa memahami dengan baik.,Kurang
Proses pembelajaran harus lebih menarik supaya mahasiswa tidak bosan,Kurang
Harus lebih saling mengerti mahasiswa terutama kelas malem,Kurang
Kirim materi melalui YouTube menurut saya kurang efektif karena mungkin mahasiswa jarang membuka atau melihatnya,Kurang
Lebih menarik lagi dalam menyampaikan materi supaya mahasiswa tidak bosan,Kurang
Waktu perkuliahan kurang efektif,Kurang
Terlalu tegang,Kurang
Jika tidak masuk kelas sebaiknya dosen memberi informasi dan jika memberikan tugas jangan mendadak,Kurang
sebaiknya jika ada mahasiswa yang terkendala saat melakukan praktik sebaiknya lebih di terangkan secara perlahan,Kurang
Jika menjelaskan materi praktek jangan terlalu cepat,Kurang
Jika menjelaskan materi jangan terlalu cepat,Kurang
sebaiknya lebih mudah di hubungi dan jika berhalangan sebaiknya mengkonfirmasi dahi jauh-jauh hari tidak mendadak,Kurang
"Kalo MK Otomatisasi perkantoran lebih baik pembelajarannya secara offline saja, karena lebih mudah dipahami bisa dipraktekan langsung. Kalo online kadang masih ada yang bingung terus juga kurang fokus karena terkendala dengan jaringan internetnya, terimakasih🙂",Kurang
"Untuk MK Prak. P. Akt 1 lebih baik dilakukan secara offline, karena lebih mudah dipahami saat pembelajarannya tatap muka langsung, terimakasih.",Kurang
Ibunya jarang masuk kelas:((((,Kurang
Kuisnya jangan terlalu mepet,Kurang
Setiap MK jangan kosong lagi ya bu,Kurang
Kegiatan perkulihan kedepan di harapkan saat kuliah daring penbawaan materinya tidak membosankan,Kurang
Sebaiknya kalo ngajar dilakukan secara langsung karna kalo pake daring kadang ada yang ngga mudeng,Kurang
Sebaiknya klo mengajar offline jadi mudah dipahami dan bisa dipraktekan langsung.,Kurang
Kalo bisa neranginya jangan cepet-cepet ya Bu biar paham,Kurang
Menurut saya kalau menerangkan secara daring kadang agak kurang paham.,Kurang
"Tugas terlalu banyak bagi kelas malam, setiap minggu ada 2-3 tugas yang diberikan.",Kurang
"Untuk kedepannya saya harap metode pembelajaran bisa diubah agar lebih gampang dipahami oleh mahasiswa, karena menurut saya kurang efektif dan susah dipahami metode yang selama ini dilaksanakan.",Kurang
"Sudah kuliah offline ditambah lagi hanya mendengarkan materi melalui kanal YouTube, sangat tidak efektif bagi saya.",Kurang
"Apa kabar ibu selama satu semester ini?tidak ada kabar sama sekali, semoga ibu sehat baik baik saja:')",Kurang
Pelan pelan pak memberikan materinya,Kurang
Pelan lagi nggih bu menyampaikan materinya,Kurang
"Dari awal sampai sekarang tidak pernah meet , cuma ngasih materi dan pembahasan di wa itupun jarang",Kurang
"Kalo ngajar jangan cepet cepet bu. Setiap mahasiswa itu dya tangkepnya beda"" ",Kurang
"dosennya hanya memberi materi lewat gc, tidak pernah mengadakan pertemuan zoom/gmeet",Kurang
Sebaiknya dosen tidak bertele tele saat menjelaskan materi,Kurang
Sebaiknya jangan terlalu tegang saat dosen sedang menyampaikan materi,Kurang
Sebaiknya Saat penyampaian materi tidak bertele tele,Kurang
Sebaiknya saat menyampaikan semua materi itu sama dosennya aja jangan ada presentasi karena belum tentu kita paham sama materi yang dijelaskan oleh mahasiswa yang berpresentasi,Kurang
Sebaiknya jangan terlalu tegang saat melakukan pembelajaran. Dan jika ada tugas sebaiknya deadline-nya 1 minggu jangan langsung hari itunya,Kurang
Kurang paham dengan materi yang dijelaskan dengan dosen tersebut,Kurang
Sebaiknya saat melakukan pembelajaran tidak menggunakan bahasa yang kurang bisa kita pahami,Kurang
"Tidak ada pernah pertemuan gmeet, zoom,w.a, namun tugas mendekati UAS numpuk sampe 5. Mohon toleransinya dan jangan terlalu  membebankan mahasiswa. Apalagi untuk kelas karyawan yg sdh terkuras tenaga dari kerjaan. Akhir tidak ada waktu buat belajar UAS karena sudah tertumpuk deadline",Kurang
Perlu modul dan lebih jelas metode pengajarannya bukan hanya presentasi tapi ada point penting yg dijelaskan apa saja,Kurang
Dosen tidak pernah mengadakan gmeet dan kurang jelas menjelaskan materi,Kurang
Menjelaskan materi terlalu cepat :),Kurang
terkadang susah dihubungi dan terkadang telat dalam waktu mengajar sebaiknya lebih tepat waktu lagi,Kurang
Menjelaskan materi kurang jelas,Kurang
Menjelaskan materi terlalu cepat,Kurang
"sering telat mengajar
saran nya lebih tepat waktu",Kurang
"Tidak pernah mengadakan kelas online maupun offline, dan materinya kurang jelas ",Kurang
terlalu cepat dalam menjelaskan,Kurang
terlalu susah untuk dihubungi jika ingin memulai mata kuliah,Kurang
"Sebaiknya lebih profesional lagi dalam mengajar, jangan mudah terbawa perasaan dan marah",Kurang
"Lebih baik modul di bagukan dlm bentuk pdd saja klo emng jumlah halaman sedikit, masa modul inggris paling tipis harganya 40k",Kurang
Sebaiknya modul jgn tebal-tebal karna melihatnya saja bikin malas membaca,Kurang
Keaktifan masuk di kelas sebaiknya di perbaiki,Kurang
Mohon untuk semua dosen yang sudah ditugaskan untuk mengajar agar melaksanakan printah dg baik,Kurang
"Terlalu santai kalo mengajar, jadi mahasiswanya jadi kurang bersemangat ",Kurang
Sebaiknya untuk penilaian jangan terlalu pelit karena kita sebagai mahasiswa sudah berusaha semampu kita,Kurang
Oke,Kurang
Deadline pengumpulan tugas terlalu cepat.,Kurang
"Mungkin karna bu dosen ini menjadi wadir, jadinya sibuk jarang masuk jadwal bahkan mungkin bisa dihitung dengan hitungan jari, jadi lebih baik kalo yang dijadiin dosen itu jangan yang punya kedudukan tinggi dan sibuk agar belajar mengajar menjadi lebih efektif.",Kurang
"Sebaiknya Kalaw mau ngasih tugas harus jelas pak🙏🙏 dan juga harusnya dibanyakin prakteknya bukan online tros. Kita pusing, ini materi praktek harusnya lebih ditekankan. Dan ujung²nya kita nonton YT deh. Kuotane habis, apalagi kalaw sinyalnya hilang yah udah deh bubar. ",Kurang
"Jangan hanya mengirim materi di google classroom dan disuruh mengerjakan tugas, diharap mengadakan meet setiap pertemuan",Kurang
Pak nanti kalo di WA sama mahasiswanya tolong di bales ya,Kurang
Lebih jelas dan keras Lagi suaranya ketika memberikan materi berupa video YouTube.,Kurang
Jangan suka ngasih tugass..,Kurang
Saran saya Ketika memberikan materi tidak terlalu cepat bicaranya.,Kurang
Kedepannya tolong lebih meluangkan waktu untuk masuk kelas bu,Kurang
Hanya menyuruh mahasiswa mengerjakan tugas tetapi tidak menjelaskan secara detail pembahasan,Kurang
Mungkin karena dosen pengganti jadi belum pernah mengadakan meet,Kurang
"Jarang g meet,  jarang ngasih tugass,  semoga kedepnya bisa di perbaiki lagi ",Kurang
Kurang mendalami dalam penyampaian materi kuliah,Kurang
Harus lebih masuk kelas sesuai jadwal,Kurang
"Saat mengajar jangan terlalu cepat menjelaskan materi, karena sangat susah untuk di pahami",Kurang
Perkuliahannya jarang dan sulit untuk memahami materi yang di ujikan,Kurang
Tidak ada.,Kurang
"mohon maaf, untuk materi yang dijelaskan oleh dosen tersebut kurang bisa dipahami oleh kebanyakan mahasiswa, dan dalam pemberian tugasnya juga seabreg abreg ga mipil, dan apabila ada mahasiswa yg bertanya lewat wa kadang tidak dibls, dan metode penyampaian materinya juga kurang inovatif. ",Kurang
Kalo ngajar suka  ngebatasin waktuu,Kurang
Lebih sering lagi untuk memberikan materi di kelas,Kurang
Sering sering membimbing jangan cuma nyuruh nonton youtub terus ditinggal pergi,Kurang
Materi sulit dipahami,Kurang
Agak terlalu cepat menjelaskan,Kurang
Lebih sabar lagi dalam menghadapi mahasiswa yang terkadang terlambat untuk menyelesaikan tugas.,Kurang
Lebih sabar dalam menghadapi mahasiswa yang terkadang tidak menjawab saat ditanya.,Kurang
Lebih sabar dalam menghadapi mahasiswa yang terkadang kalau ditanya tidak menjawab.,Kurang
Lebih sabar dalam menghadapi mahasiswa yang ketika ditanya lama menjawabnya karena bingung.,Kurang
"Kurang dalam mengatur waktu,terkadang masuk gmeet terlambat dan tidak memberi tahu mahasiswa gmeet tepat dimulai jam berapa,dan sering sekali pada saat mata kuliah sudah selesai namun dosen tetap melanjutkan ",Kurang
Terkadang dosen pada saat gmeet dimulai tidak memperhatikan mahasiswa yang mau ikut masuk dalam gmeet sehingga mahasiswa menunggu lama untuk di acc,Kurang
"Pada saat mengajar dosen terlalu serius,kurang diselingi candaan sehingga mahasiswa nyaman pada saat diajar",Kurang
Tugasnya terlalu banyak dan selalu disuruh bikin video setiap minggu,Kurang
"Materinya kurang ,jadi kalau mau UAS mahasiswa terkadang mencari materi sendiri",Kurang
Ketika praktik di lab harap periksa keadaan kelas sudah dapat mengikuti dengan benar atau belum,Kurang
Jangan terlalu cepat dalam mengajar,Kurang
Terlalu monoton dalam mengajar,Kurang
Minta tolong direspon jika ada mahasiswa yang konfirmasi mengenai KBM dll,Kurang
Lebih sering masuk KBM biar tidak susah nyari hari pengganti,Kurang
Jangan galak-galak ya  sama mahasiswanya,Kurang
Lebih baik menggunakan gmeet daripada Whatsapp agar mahasiswa lebih paham,Kurang
Sering tidak masuk kelas online,Kurang
Lebih gampang dihubungi karena terkadang mahasiswa butuh bertanya,Kurang
Jangan sering-sering kosong,Kurang
"Jangan membeda-bedakan mahasiswa, karena semua mahasiswa sama",Kurang
Kurang jelas dalam menyampaikan materi.,Kurang
Kurang menguasai situasi kelas,Kurang
Kurang efisien dalam pembelajarannya karena selama satu semester hanya diberi tugas untuk menanam tanaman. Lalu menjualnya...,Kurang
Saran saya jika dihubungi oleh mahasiswa bisa memberikan balasan atau konfirmasi dengan baik,Kurang
Kurang jelas dalam menjelaskan apalagi di jam² sore... Sebaiknya lebih jelas lagi dan membuat situasi lebih seru lagi,Kurang
Kurang jelas menjelaskan materi,Kurang
Sebaiknya kalau mengajar jangan terlalu cepat dan jangan sering marah-marah terhadap mahasiswa.,Kurang
"Saran saya ketika mengajar agar lebih sabar lagi, walaupun menjelaskan materinya jelas tetapi mudah emosi ",Kurang
Selama pergantian dosen setelah Alam pak Sunandar meninggal kita hanya di ajar Bu Ika sekali saja.,Kurang
Saran saya jika tidak masuk dikasih tugas supaya tidak tertinggal jauh materinya. Sekali ngasih tugas banyak dan tidak dijelaskan. Jika di tanyakan masuk tidak selalu banyak alasannya.,Kurang
tidak aada,Kurang
Sering sering ada kabar ya bu jgn suka mendadak dan kalo memberikan tugas jgn yg mempersulit mhsiswanya,Kurang
tidk ada,Kurang
terlalu menegangkan saat mengajar,Kurang
tdk adaa,Kurang
Materi terlalu banyak jadi lebih banyak metode pembelajaran melalui vidio pembahasan rutin,Kurang
Kurang waktu pembelajaran,Kurang
"Bosan cara mengajarnya ,",Kurang
Tidak pernah diajarkan,Kurang
Jelas hanya terlalu membingungkan bolak balik cara mengajarkannya,Kurang
"Sinyal dosen mengganggu , dan bosan cara mengajarkannya",Kurang
Jika dihubungi susah,Kurang
Kalo kasih tugas jangan banyak-banyak dan kurangi menyinggung mahasiswa,Kurang
Gmeet oh buk. Masa via chat,Kurang
Gapernah googlemeet semenjak smt3 dan ini mau smt5,Kurang
Sarannya kalo kelas pagi bisa lebih ontime dengan jadwal yg diberikan prodi karena mahasiswa menunggu terlalu lama,Kurang
Sarannya semoga di beri kesabaran yang bertammbah untuk mahasiswanya,Kurang
Tidak adq,Kurang
"Kritik saya ketika sudah waktunya perkuliahan harusnya sudah siap untuk menyampaikan materi yang akan dibahas tidak jam kosong terus, saran saya seharusnya dosen bisa melalui media online gmeet atau zoom tapi tidak ada tindakan untuk mengajar jadi saya sebagai mahasiswa tidak tahu materi apa yang diajarkan alhasil mahasiswa sekedar membaca sendiri tapi tidak sepenuhnya paham. Mohon dengan sangat prodi bisa mengkoreksi dosen yang benar benar niat untuk mengajar mahasiswanya",Kurang
"harus bertanggung jawab dalam menyampaikan materi kepada mahasiswa karena dari awal tidak pernah mengisi pembelajaran, dan tiba-tiba hanya memberi tugas saja tanpa dijelaskan",Kurang
jangan hanya mengirim materi saja tapi tolong dijelaskan agar mahasiswa faham,Kurang
Lebih dilihat lg penilaian terhadap mahasiswa,Kurang
"Tidak pernah melakukan google meet
Selama 1 smester tidak ada kelas.. Cuma memberi materi lewat Gc.",Kurang
Jangan sering memberi tugas,Kurang
Kurangi jam kosong agar tidak terlalu cepat mengejar materi,Kurang
penjelasan atas materi sulit dipahami,Kurang
Untuk pembelajjaran kurang efektif,Kurang
Menjelaskannya jgn terlalu ceoat,Kurang
Menjelaskannya jgn terlalu cepat,Kurang
Menjelaskannya jangan terlalu cepat,Kurang
Terkadang video yang di upload di yt sama dengan yang di modul. Sudah berulang kali saya putar dan baca masih belum dapat memahami materi 100% 🙏,Kurang
"Jika dihubungi susah, jika di wa untuk bertanya tentang maksud dari tugasnya hanya di read:) cara penjelasanya kurang. Sekian terima kasih",Kurang
penyampaian materi terlalu cepat,Kurang
terlalu banyak tugas video penyimpanan penuh:(,Kurang
"tidak pernah ada gmeet, ",Kurang
"Semoga bapak bisa lebih mempertimbangkan lagi waktu perkuliahan, karena dilaksanakan pada sore menjelang petang 
Menurut saya waktu tersebut kurang maksimal karena fisik sudah lelah dari pagi ada perkuliahan jadi kurang pemahaman",Kurang
Susah dalam pembelajaran.,Kurang
Agar lebih sabar lagi dalam mengajarr,Kurang
Kurang baik,Kurang
"Dalam pembelajaran jarang masuk, cuma masuk 1 kali pertemuan. ",Kurang
Kurang maksimal karena tidak pernah melakukan gmeet sehingga pemahaman kurang,Kurang
Menjelaskan materi jangan terlalu cepat.,Kurang
jangan sering kosong:(,Kurang
Menjelaskannya membuat boring,Kurang
Kurang menyenangkan dalam metode pembelajaran,Kurang
"Dosen tdk pernah menghadiri kls karena kesibukan lain, hanya pernah pembelajaran 1x secara offline untuk mengejar materi sebelumnya",Kurang
Terlalu tegang dalam menerangkan materi,Kurang
"Jelaskan materinya dahulu sebelum mengasih tugas""nya Dan membuat jdwal pertemuan melalui Gmeet seperti dosen"" lainnya. ",Kurang
Asisten dosennya kurang baik dan kurnaag sabar.,Kurang
Kalo menjelaskan tidak langsung tapi muter-muter dulu kadang agak sedikit kebingungan menjelaskan nya jga agak terlalu kecepetan,Kurang
Gak ada,Kurang
Lebih sering masuk kelas lagi,Kurang
sebaiknya jgn sering2 jamkos,Kurang
"Meskipun sebagai dosen pengganti dari Alm pa Sunandar, ibu ika beberapa kali memberikan tugas dan pernah melakukan satu kali tatap muka dan memberikan pembelajaran yang ketinggalan. Semoga lebih cepat memberi respon pada saat dihubungi. Dan semoga lebih baik lagi. ",Kurang
"Sebaiknya agar dosen lebih menjelaskan detail, apalagi ini mata kuliah praktikum yang membutuhkan contoh real dalam pencatatan setiap transaksi nya",Kurang
Kurang menjelaskan dasar dari materi tersebut,Kurang
kurang di penyampaian materi,Kurang
jangan terlalu diberi banyak tugas kadang kejar kejaran deadline sedangkan saya mahasiswi ekstensi,Kurang
Tugas jangan setiap minggu,Kurang
"Dimohon untuk tidak menyebutkan nilai² kami yg kurang memuaskan, hal tersebut tidak lantas membuat kami menjadi terpacu untuk menjadi yg lebih baik, tetapi malah membuat down mental kami. Karena permasalahan yang sering terjadi saat perkuliahan daring nilai yang buruk bukan berarti tidak pandai, tidak menutup kemungkinan karena signal yang buruk. ",Kurang
Metode pembelajaran via WA krg dapat dipahami,Kurang
Jangan terlalu cepat saat menjelaskan,Kurang
Kurang lebih saya kurang paham dengan yang disampaikan karena media pembelajaran online,Kurang
Kurang lebih saya kurang paham karena media pembelajaran online,Kurang
Yang diminta siswa adalah dosen yang dapat menjelaskan materinya. Kami butuh bimbingan untuk dapat memahami materi bukan hanya motivasi saja.,Kurang
Sering terkendala koneksi internet dan pembawaannya kurang enak hehe,Kurang
tolong jelaskan lebih rinci jika ada mahasiswa yang belum paham,Kurang
"Jarang menjelaskan materi, hanya mengirimkan video hampir di setiap pertemuan sehingga mahasiswa kurang memahami materinya",Kurang
Jangan hanya mengirim video youtube untuk pemebelajaran dan jangan membuat materi sesuai dengan modul karena mahasiswa juga bisa membaca jika materi yang disampaikan sama dengan di modul pembelajaran,Kurang
Tidal ada,Kurang
Dosen dalam mengajar tidak mudah dipahami,Kurang
Nothing,Kurang
Tidak,Kurang
"Seharusnya mencari dosen yang benar benar kompeten di bidangnya, untuk mk ini dosennya tidak bisa menguasai sehingga mahasiswa tidak bisa memahami",Kurang
"Sebaiknya jika sudah ada jam mengajar bisa digunakan untuk semestinya, atau bisa diganti dengan hari selanjutnya. Ketika ada mahasiswa menghubungi bisa direspon, pengajaran yang membingungkan dan monoton ",Kurang
"Saran dan kritik saya adalah Agar lebih menyempatkan waktunta untuk masuk kelas dan menjelaskan materi secara detail, tidak hanya memberi tugas saja",Kurang
"Mohon Maaf sebelumnya, Kritik untuk lebih menghargai mahasiswa yang Chat karena Mahasiswa juga butuh kepastian dari dosennya meskipun cuma jawab YA, karena saya sendiri chat ijin tidak pernah dibaca bahkan dibalas . Dan untuk kelas ektensi dengan tugas yang banyak dan dateline yang cepat sungguh menguras tenaga dan pikiran karena mayoritas dari kita bekerja bagai kuda dan waktu banyak habis ditempat kerja belum lagi tugas dosen yang lain kalau hal tersebut diterapkan di kelas pagi BAIK sekali, saran disamping praktek langsung dikampus, untuk membuat akun youtube tutorial saat menggunakan  suatu Aplikasi Excel, Acces, Flowchart supaya mahasiswa yang belum paham / ketinggalan mk bisa mengikuti. Terima Kasih ",Kurang
Pembelajaran tidak menarik terlalu monoton,Kurang
Terlalu banyak tugas pak,Kurang
"Sebaiknya dosen dapat memberikan dan menjelaskan materi perkuliahan dengan jelas, sehingga mahasiswa dapat lebih memahami. Dalam memberikan dan menjelaskan materi perkuliahan sebaiknya jangan bertele-tele dan juga jangan terlalu cepat, Terima kasih",Kurang
"Sebaiknya tugasnya dikurangi, karena kelas ekstnsi waktu untuk mengerjakann tugasnya sedikit.",Kurang
Untuk penjrlasan naterinya kurang,Kurang
saat menjelaskan suatu materi hendaknyaa disertai ppt atau file mendukung,Kurang
lain kali asdosnya dikasih tahu agar lebih menghargai mahasiswa tidak seenaknya sendiri,Kurang
dosennya jarang masuk kelas,Kurang
Lebih antusias lagi dalam menjelaskan,Kurang
koneksi internet nya distabilkan dalam mempresentasikan,Kurang
